	index	ROIName7	R	A	S	tf_label_7	tf_color_7	ROILabel17	ROIName17	tf_label_17	tf_color_17
100	101	7Networks_LH_SalVentAttn_FrOperIns_5	-32	18	8	7Networks_LH_SalVentAttn_FrOper_5	#c43bfc	91	17Networks_LH_SalVentAttnA_Ins_3	17Networks_LH_SalVentAttnA_Ins_3	#c43bfc
101	102	7Networks_LH_SalVentAttn_FrOperIns_6	-36	4	10	7Networks_LH_SalVentAttn_FrOper_6	#c43bfd	92	17Networks_LH_SalVentAttnA_Ins_4	17Networks_LH_SalVentAttnA_Ins_4	#c43bfd
102	103	7Networks_LH_SalVentAttn_FrOperIns_7	-44	12	2	7Networks_LH_SalVentAttn_FrOper_7	#c43bfe	106	17Networks_LH_SalVentAttnB_Ins_3	17Networks_LH_SalVentAttnB_PFCv_3	#ff99db
103	104	7Networks_LH_SalVentAttn_FrOperIns_8	-50	2	4	7Networks_LH_SalVentAttn_FrOper_8	#c43bff	93	17Networks_LH_SalVentAttnA_FrOper_1	17Networks_LH_SalVentAttnA_Ins_5	#c43bfe
104	105	7Networks_LH_SalVentAttn_FrOperIns_9	-52	8	14	7Networks_LH_SalVentAttn_FrOper_9	#c134fa	94	17Networks_LH_SalVentAttnA_FrOper_2	17Networks_LH_SalVentAttnA_Ins_6	#c43bff
105	106	7Networks_LH_SalVentAttn_PFCl_1	-28	44	30	7Networks_LH_SalVentAttn_PFCl_1	#c134f9	102	17Networks_LH_SalVentAttnB_PFCl_2	17Networks_LH_SalVentAttnB_PFCl_2	#ff99d7
106	107	7Networks_LH_SalVentAttn_Med_1	-6	22	32	7Networks_LH_SalVentAttn_Med_1	#c53af8	108	17Networks_LH_SalVentAttnB_PFCmp_1	17Networks_LH_SalVentAttnB_PFCmp_1	#ff97d6
107	108	7Networks_LH_SalVentAttn_Med_2	-6	0	40	7Networks_LH_SalVentAttn_Med_2	#c53af9	98	17Networks_LH_SalVentAttnA_FrMed_1	17Networks_LH_SalVentAttnA_FrMed_1	#c53afb
108	109	7Networks_LH_SalVentAttn_Med_3	-12	-28	42	7Networks_LH_SalVentAttn_Med_3	#c53afb	95	17Networks_LH_SalVentAttnA_ParMed_1	17Networks_LH_SalVentAttnA_ParMed_1	#c134f9
109	110	7Networks_LH_SalVentAttn_Med_4	-6	10	48	7Networks_LH_SalVentAttn_Med_4	#c53afc	99	17Networks_LH_SalVentAttnA_FrMed_2	17Networks_LH_SalVentAttnA_FrMed_2	#c53afc
110	111	7Networks_LH_SalVentAttn_Med_5	-12	-42	48	7Networks_LH_SalVentAttn_Med_5	#c53afd	96	17Networks_LH_SalVentAttnA_ParMed_2	17Networks_LH_SalVentAttnA_ParMed_2	#c134fa
111	112	7Networks_LH_SalVentAttn_Med_6	-6	-48	56	7Networks_LH_SalVentAttn_Med_6	#c53afe	97	17Networks_LH_SalVentAttnA_ParMed_3	17Networks_LH_SalVentAttnA_ParMed_3	#c134fb
112	113	7Networks_LH_SalVentAttn_Med_7	-8	-2	70	7Networks_LH_SalVentAttn_Med_7	#c53aff	100	17Networks_LH_SalVentAttnA_FrMed_3	17Networks_LH_SalVentAttnA_FrMed_3	#c53afd
113	114	7Networks_LH_Limbic_OFC_1	-12	24	-20	7Networks_LH_Limbic_OFC_1	#dcf8a3	109	17Networks_LH_LimbicB_OFC_1	17Networks_LH_Limbic_OFC_1	#7a8731
114	115	7Networks_LH_Limbic_OFC_2	-24	22	-20	7Networks_LH_Limbic_OFC_2	#dcf8a5	110	17Networks_LH_LimbicB_OFC_2	17Networks_LH_Limbic_OFC_2	#7a8733
115	116	7Networks_LH_Limbic_OFC_3	-10	48	-22	7Networks_LH_Limbic_OFC_3	#dcf8a6	111	17Networks_LH_LimbicB_OFC_3	17Networks_LH_Limbic_OFC_3	#7a8734
116	117	7Networks_LH_Limbic_OFC_4	-4	24	-20	7Networks_LH_Limbic_OFC_4	#dcf8a7	112	17Networks_LH_LimbicB_OFC_4	17Networks_LH_Limbic_OFC_4	#7a8735
117	118	7Networks_LH_Limbic_OFC_5	-16	64	-8	7Networks_LH_Limbic_OFC_5	#dcf8a8	113	17Networks_LH_LimbicB_OFC_5	17Networks_LH_Limbic_OFC_5	#7a8736
118	119	7Networks_LH_Limbic_TempPole_1	-38	-6	-42	7Networks_LH_Limbic_TempPole_1	#dcf8a4	114	17Networks_LH_LimbicA_TempPole_1	17Networks_LH_Limbic_TempPole_1	#dcf8a2
119	120	7Networks_LH_Limbic_TempPole_2	-24	6	-40	7Networks_LH_Limbic_TempPole_2	#dcf8a9	115	17Networks_LH_LimbicA_TempPole_2	17Networks_LH_Limbic_TempPole_2	#dcf8a3
120	121	7Networks_LH_Limbic_TempPole_3	-26	-10	-32	7Networks_LH_Limbic_TempPole_3	#dcf8aa	116	17Networks_LH_LimbicA_TempPole_3	17Networks_LH_Limbic_TempPole_3	#dcf8a5
121	122	7Networks_LH_Limbic_TempPole_4	-54	-22	-30	7Networks_LH_Limbic_TempPole_4	#dcf8ab	117	17Networks_LH_LimbicA_TempPole_4	17Networks_LH_Limbic_TempPole_4	#dcf8a6
122	123	7Networks_LH_Limbic_TempPole_5	-40	-22	-26	7Networks_LH_Limbic_TempPole_5	#dcf8ac	118	17Networks_LH_LimbicA_TempPole_5	17Networks_LH_Limbic_TempPole_5	#dcf8a7
123	124	7Networks_LH_Limbic_TempPole_6	-44	12	-34	7Networks_LH_Limbic_TempPole_6	#dcf9a5	167	17Networks_LH_DefaultB_Temp_1	17Networks_LH_DefaultB_Temp_1	#cd3e4d
124	125	7Networks_LH_Limbic_TempPole_7	-32	12	-30	7Networks_LH_Limbic_TempPole_7	#dcf9a6	119	17Networks_LH_LimbicA_TempPole_6	17Networks_LH_Limbic_TempPole_6	#dcf8a8
125	126	7Networks_LH_Limbic_TempPole_8	-20	-20	-26	7Networks_LH_Limbic_TempPole_8	#dcf9a7	192	17Networks_LH_DefaultC_PHC_1	17Networks_LH_DefaultC_PHC_1	#000183
126	127	7Networks_LH_Cont_Par_1	-28	-74	42	7Networks_LH_Cont_Par_1	#e69421	122	17Networks_LH_ContA_IPS_1	17Networks_LH_ContA_IPS_1	#e69422
127	128	7Networks_LH_Cont_Par_2	-58	-42	46	7Networks_LH_Cont_Par_2	#e69423	123	17Networks_LH_ContA_IPS_2	17Networks_LH_ContA_IPS_2	#e69424
128	129	7Networks_LH_Cont_Par_3	-54	-50	44	7Networks_LH_Cont_Par_3	#e69424	137	17Networks_LH_ContB_IPL_2	17Networks_LH_ContB_IPL_2	#87324e
129	130	7Networks_LH_Cont_Par_4	-34	-62	48	7Networks_LH_Cont_Par_4	#e69425	124	17Networks_LH_ContA_IPS_3	17Networks_LH_ContA_IPS_3	#e69425
130	131	7Networks_LH_Cont_Par_5	-42	-52	48	7Networks_LH_Cont_Par_5	#e69426	138	17Networks_LH_ContB_IPL_3	17Networks_LH_ContB_IPL_3	#87324f
131	132	7Networks_LH_Cont_Par_6	-44	-42	46	7Networks_LH_Cont_Par_6	#e69427	125	17Networks_LH_ContA_IPS_4	17Networks_LH_ContA_IPS_4	#e69426
132	133	7Networks_LH_Cont_Temp_1	-60	-48	-10	7Networks_LH_Cont_Temp_1	#e69428	135	17Networks_LH_ContB_Temp_2	17Networks_LH_ContB_Temp_2	#87324c
133	134	7Networks_LH_Cont_OFC_1	-26	50	-14	7Networks_LH_Cont_PFCl_1	#e69520	107	17Networks_LH_SalVentAttnB_OFC_1	17Networks_LH_SalVentAttnB_OFC_1	#ff98d5
