	index	ROIName7	R	A	S	tf_label_7	tf_color_7	ROILabel17	ROIName17	tf_label_17	tf_color_17
276	277	7Networks_RH_DorsAttn_Post_7	18	-78	50	7Networks_RH_DorsAttn_Post_7	#04770d	267	17Networks_RH_DorsAttnA_SPL_3	17Networks_RH_DorsAttnA_SPL_4	#4f9b3e
277	278	7Networks_RH_DorsAttn_Post_8	44	-38	50	7Networks_RH_DorsAttn_Post_8	#04770e	276	17Networks_RH_DorsAttnB_PostC_3	17Networks_RH_DorsAttnB_PostC_3	#057610
278	279	7Networks_RH_DorsAttn_Post_9	46	-28	42	7Networks_RH_DorsAttn_Post_9	#047710	277	17Networks_RH_DorsAttnB_PostC_4	17Networks_RH_DorsAttnB_PostC_4	#057611
279	280	7Networks_RH_DorsAttn_Post_10	30	-64	52	7Networks_RH_DorsAttn_Post_10	#047711	268	17Networks_RH_DorsAttnA_SPL_4	17Networks_RH_DorsAttnA_SPL_5	#4f9b3f
280	281	7Networks_RH_DorsAttn_Post_11	36	-44	44	7Networks_RH_DorsAttn_Post_11	#047712	328	17Networks_RH_ContA_IPS_4	17Networks_RH_ContA_IPS_4	#ea9326
281	282	7Networks_RH_DorsAttn_Post_12	20	-68	52	7Networks_RH_DorsAttn_Post_12	#047713	269	17Networks_RH_DorsAttnA_SPL_5	17Networks_RH_DorsAttnA_SPL_6	#4f9b40
282	283	7Networks_RH_DorsAttn_Post_13	36	-36	52	7Networks_RH_DorsAttn_Post_13	#047714	278	17Networks_RH_DorsAttnB_PostC_5	17Networks_RH_DorsAttnB_PostC_5	#057612
283	284	7Networks_RH_DorsAttn_Post_14	34	-50	54	7Networks_RH_DorsAttn_Post_14	#047715	270	17Networks_RH_DorsAttnA_SPL_6	17Networks_RH_DorsAttnA_SPL_7	#4f9b41
284	285	7Networks_RH_DorsAttn_Post_15	8	-72	52	7Networks_RH_DorsAttn_Post_15	#047716	355	17Networks_RH_ContC_pCun_5	17Networks_RH_ContC_pCun_5	#7b8db4
285	286	7Networks_RH_DorsAttn_Post_16	26	-58	60	7Networks_RH_DorsAttn_Post_16	#04780f	271	17Networks_RH_DorsAttnA_SPL_7	17Networks_RH_DorsAttnA_SPL_8	#4f9b42
286	287	7Networks_RH_DorsAttn_Post_17	8	-54	60	7Networks_RH_DorsAttn_Post_17	#047810	279	17Networks_RH_DorsAttnB_PostC_6	17Networks_RH_DorsAttnB_PostC_6	#057613
287	288	7Networks_RH_DorsAttn_Post_18	14	-64	64	7Networks_RH_DorsAttn_Post_18	#047811	272	17Networks_RH_DorsAttnA_SPL_8	17Networks_RH_DorsAttnA_SPL_9	#4f9b43
288	289	7Networks_RH_DorsAttn_Post_19	24	-50	68	7Networks_RH_DorsAttn_Post_19	#047812	280	17Networks_RH_DorsAttnB_PostC_7	17Networks_RH_DorsAttnB_PostC_7	#057614
289	290	7Networks_RH_DorsAttn_FEF_1	40	-4	52	7Networks_RH_DorsAttn_FEF_1	#05760f	282	17Networks_RH_DorsAttnB_FEF_1	17Networks_RH_DorsAttnB_FEF_1	#05770f
290	291	7Networks_RH_DorsAttn_FEF_2	28	-4	52	7Networks_RH_DorsAttn_FEF_2	#057610	283	17Networks_RH_DorsAttnB_FEF_2	17Networks_RH_DorsAttnB_FEF_2	#057710
291	292	7Networks_RH_DorsAttn_FEF_3	24	-2	64	7Networks_RH_DorsAttn_FEF_3	#057611	284	17Networks_RH_DorsAttnB_FEF_3	17Networks_RH_DorsAttnB_FEF_3	#057711
292	293	7Networks_RH_DorsAttn_PrCv_1	48	8	24	7Networks_RH_DorsAttn_PrCv_1	#057612	333	17Networks_RH_ContA_PFCl_4	17Networks_RH_ContA_PFCl_4	#e99425
293	294	7Networks_RH_SalVentAttn_TempOccPar_1	60	-46	6	7Networks_RH_SalVentAttn_TempOccPar_1	#c93af9	396	17Networks_RH_TempPar_6	17Networks_RH_TempPar_6	#0d29fb
294	295	7Networks_RH_SalVentAttn_TempOccPar_2	52	-40	12	7Networks_RH_SalVentAttn_TempOccPar_2	#c93afa	397	17Networks_RH_TempPar_7	17Networks_RH_TempPar_7	#0d29fc
295	296	7Networks_RH_SalVentAttn_TempOccPar_3	62	-40	22	7Networks_RH_SalVentAttn_TempOccPar_3	#c93afc	400	17Networks_RH_TempPar_10	17Networks_RH_TempPar_10	#0d2af7
296	297	7Networks_RH_SalVentAttn_TempOccPar_4	58	-32	24	7Networks_RH_SalVentAttn_TempOccPar_4	#c93afd	285	17Networks_RH_SalVentAttnA_ParOper_1	17Networks_RH_SalVentAttnA_ParOper_1	#c83afa
297	298	7Networks_RH_SalVentAttn_TempOccPar_5	60	-22	22	7Networks_RH_SalVentAttn_TempOccPar_5	#c93afe	286	17Networks_RH_SalVentAttnA_ParOper_2	17Networks_RH_SalVentAttnA_ParOper_2	#c83afb
298	299	7Networks_RH_SalVentAttn_TempOccPar_6	62	-26	38	7Networks_RH_SalVentAttn_TempOccPar_6	#c93aff	287	17Networks_RH_SalVentAttnA_ParOper_3	17Networks_RH_SalVentAttnA_ParOper_3	#c83afc
299	300	7Networks_RH_SalVentAttn_TempOccPar_7	62	-38	36	7Networks_RH_SalVentAttn_TempOccPar_7	#c633fa	304	17Networks_RH_SalVentAttnB_IPL_1	17Networks_RH_SalVentAttnB_IPL_1	#fa98d6
300	301	7Networks_RH_SalVentAttn_PrC_1	52	4	40	7Networks_RH_SalVentAttn_PrC_1	#c93bfb	288	17Networks_RH_SalVentAttnA_PrC_1	17Networks_RH_SalVentAttnA_PrC_1	#c839fb
301	302	7Networks_RH_SalVentAttn_FrOperIns_1	40	6	-16	7Networks_RH_SalVentAttn_FrOper_1	#c93bf9	289	17Networks_RH_SalVentAttnA_Ins_1	17Networks_RH_SalVentAttnA_Ins_1	#c73af8
302	303	7Networks_RH_SalVentAttn_FrOperIns_2	40	8	-2	7Networks_RH_SalVentAttn_FrOper_2	#c93bfa	290	17Networks_RH_SalVentAttnA_Ins_2	17Networks_RH_SalVentAttnA_Ins_2	#c73af9
303	304	7Networks_RH_SalVentAttn_FrOperIns_3	40	-10	-4	7Networks_RH_SalVentAttn_FrOper_3	#c93bfc	291	17Networks_RH_SalVentAttnA_Ins_3	17Networks_RH_SalVentAttnA_Ins_3	#c73afb
304	305	7Networks_RH_SalVentAttn_FrOperIns_4	40	-2	6	7Networks_RH_SalVentAttn_FrOper_4	#c93bfd	292	17Networks_RH_SalVentAttnA_Ins_4	17Networks_RH_SalVentAttnA_Ins_4	#c73afc
305	306	7Networks_RH_SalVentAttn_FrOperIns_5	36	22	4	7Networks_RH_SalVentAttn_FrOper_5	#c93bfe	310	17Networks_RH_SalVentAttnB_Ins_2	17Networks_RH_SalVentAttnB_PFCv_2	#fa98d8
306	307	7Networks_RH_SalVentAttn_FrOperIns_6	38	8	10	7Networks_RH_SalVentAttn_FrOper_6	#c93bff	293	17Networks_RH_SalVentAttnA_FrOper_1	17Networks_RH_SalVentAttnA_Ins_5	#c73afd
307	308	7Networks_RH_SalVentAttn_FrOperIns_7	48	4	4	7Networks_RH_SalVentAttn_FrOper_7	#c634fa	294	17Networks_RH_SalVentAttnA_FrOper_2	17Networks_RH_SalVentAttnA_Ins_6	#c73afe
308	309	7Networks_RH_SalVentAttn_FrOperIns_8	54	12	12	7Networks_RH_SalVentAttn_FrOper_8	#c634fb	295	17Networks_RH_SalVentAttnA_FrOper_3	17Networks_RH_SalVentAttnA_Ins_7	#c73aff
309	310	7Networks_RH_SalVentAttn_PFCl_1	32	44	28	7Networks_RH_SalVentAttn_PFCl_1	#c839fb	308	17Networks_RH_SalVentAttnB_PFCl_3	17Networks_RH_SalVentAttnB_PFCl_4	#fa97d9
310	311	7Networks_RH_SalVentAttn_Med_1	8	18	36	7Networks_RH_SalVentAttn_Med_1	#c839f7	312	17Networks_RH_SalVentAttnB_PFCmp_2	17Networks_RH_SalVentAttnB_PFCmp_2	#fa99d7
311	312	7Networks_RH_SalVentAttn_Med_2	8	2	42	7Networks_RH_SalVentAttn_Med_2	#c839f8	296	17Networks_RH_SalVentAttnA_FrMed_1	17Networks_RH_SalVentAttnA_ParMed_1	#c73af7
312	313	7Networks_RH_SalVentAttn_Med_3	12	-34	42	7Networks_RH_SalVentAttn_Med_3	#c839fa	298	17Networks_RH_SalVentAttnA_ParMed_2	17Networks_RH_SalVentAttnA_ParMed_3	#c433f9
313	314	7Networks_RH_SalVentAttn_Med_4	6	10	58	7Networks_RH_SalVentAttn_Med_4	#c839fc	299	17Networks_RH_SalVentAttnA_FrMed_2	17Networks_RH_SalVentAttnA_ParMed_4	#c434f2
314	315	7Networks_RH_SalVentAttn_Med_5	10	-44	54	7Networks_RH_SalVentAttn_Med_5	#c839fd	300	17Networks_RH_SalVentAttnA_ParMed_3	17Networks_RH_SalVentAttnA_ParMed_5	#c434f3
315	316	7Networks_RH_SalVentAttn_Med_6	10	-32	50	7Networks_RH_SalVentAttn_Med_6	#c839fe	301	17Networks_RH_SalVentAttnA_ParMed_4	17Networks_RH_SalVentAttnA_ParMed_6	#c434f4
316	317	7Networks_RH_SalVentAttn_Med_7	6	-2	66	7Networks_RH_SalVentAttn_Med_7	#c839ff	302	17Networks_RH_SalVentAttnA_FrMed_3	17Networks_RH_SalVentAttnA_ParMed_7	#c434f5
317	318	7Networks_RH_SalVentAttn_Med_8	16	6	70	7Networks_RH_SalVentAttn_Med_8	#c83af9	303	17Networks_RH_SalVentAttnA_FrMed_4	17Networks_RH_SalVentAttnA_ParMed_8	#c434f6
318	319	7Networks_RH_Limbic_OFC_1	14	24	-20	7Networks_RH_Limbic_OFC_1	#e0f9a3	313	17Networks_RH_LimbicB_OFC_1	17Networks_RH_Limbic_OFC_1	#7e8732
319	320	7Networks_RH_Limbic_OFC_2	22	22	-20	7Networks_RH_Limbic_OFC_2	#e0f9a5	314	17Networks_RH_LimbicB_OFC_2	17Networks_RH_Limbic_OFC_2	#7e8734
320	321	7Networks_RH_Limbic_OFC_3	8	46	-24	7Networks_RH_Limbic_OFC_3	#e0f9a6	315	17Networks_RH_LimbicB_OFC_3	17Networks_RH_Limbic_OFC_3	#7e8735
321	322	7Networks_RH_Limbic_OFC_4	20	42	-18	7Networks_RH_Limbic_OFC_4	#e0f9a7	316	17Networks_RH_LimbicB_OFC_4	17Networks_RH_Limbic_OFC_4	#7e8736
322	323	7Networks_RH_Limbic_OFC_5	4	22	-20	7Networks_RH_Limbic_OFC_5	#e0f9a8	317	17Networks_RH_LimbicB_OFC_5	17Networks_RH_Limbic_OFC_5	#7e8737
323	324	7Networks_RH_Limbic_OFC_6	10	62	-14	7Networks_RH_Limbic_OFC_6	#e0f9a9	318	17Networks_RH_LimbicB_OFC_6	17Networks_RH_Limbic_OFC_6	#7e8738
324	325	7Networks_RH_Limbic_TempPole_1	28	-2	-40	7Networks_RH_Limbic_TempPole_1	#e0f9a4	319	17Networks_RH_LimbicA_TempPole_1	17Networks_RH_Limbic_TempPole_1	#e0f8a4
325	326	7Networks_RH_Limbic_TempPole_2	48	-6	-40	7Networks_RH_Limbic_TempPole_2	#e0f9aa	320	17Networks_RH_LimbicA_TempPole_2	17Networks_RH_Limbic_TempPole_2	#e0f8a6
326	327	7Networks_RH_Limbic_TempPole_3	36	18	-38	7Networks_RH_Limbic_TempPole_3	#e0f9ab	321	17Networks_RH_LimbicA_TempPole_3	17Networks_RH_Limbic_TempPole_3	#e0f8a7
327	328	7Networks_RH_Limbic_TempPole_4	40	-14	-32	7Networks_RH_Limbic_TempPole_4	#e0f9ac	322	17Networks_RH_LimbicA_TempPole_4	17Networks_RH_Limbic_TempPole_4	#e0f8a8
328	329	7Networks_RH_Limbic_TempPole_5	28	12	-30	7Networks_RH_Limbic_TempPole_5	#e0faa5	323	17Networks_RH_LimbicA_TempPole_5	17Networks_RH_Limbic_TempPole_5	#e0f8a9
329	330	7Networks_RH_Limbic_TempPole_6	50	-28	-26	7Networks_RH_Limbic_TempPole_6	#e0faa6	324	17Networks_RH_LimbicA_TempPole_6	17Networks_RH_Limbic_TempPole_6	#e0f8aa
330	331	7Networks_RH_Limbic_TempPole_7	22	-18	-28	7Networks_RH_Limbic_TempPole_7	#e0faa7	389	17Networks_RH_DefaultC_PHC_1	17Networks_RH_DefaultC_PHC_1	#050085
331	332	7Networks_RH_Cont_Par_1	54	-52	44	7Networks_RH_Cont_Par_1	#ea9321	339	17Networks_RH_ContB_IPL_2	17Networks_RH_ContB_IPL_2	#8b324b
332	333	7Networks_RH_Cont_Par_2	56	-40	48	7Networks_RH_Cont_Par_2	#ea9323	340	17Networks_RH_ContB_IPL_3	17Networks_RH_ContB_IPL_3	#8b324c
333	334	7Networks_RH_Cont_Par_3	36	-70	46	7Networks_RH_Cont_Par_3	#ea9324	325	17Networks_RH_ContA_IPS_1	17Networks_RH_ContA_IPS_1	#ea9323
334	335	7Networks_RH_Cont_Par_4	54	-32	52	7Networks_RH_Cont_Par_4	#ea9325	326	17Networks_RH_ContA_IPS_2	17Networks_RH_ContA_IPS_2	#ea9324
335	336	7Networks_RH_Cont_Par_5	46	-44	46	7Networks_RH_Cont_Par_5	#ea9326	327	17Networks_RH_ContA_IPS_3	17Networks_RH_ContA_IPS_3	#ea9325
336	337	7Networks_RH_Cont_Par_6	42	-56	48	7Networks_RH_Cont_Par_6	#ea9327	341	17Networks_RH_ContB_IPL_4	17Networks_RH_ContB_IPL_4	#8b324d
337	338	7Networks_RH_Cont_Temp_1	62	-28	-20	7Networks_RH_Cont_Temp_1	#ea9322	336	17Networks_RH_ContB_Temp_1	17Networks_RH_ContB_Temp_1	#8c334c
338	339	7Networks_RH_Cont_Temp_2	64	-42	-10	7Networks_RH_Cont_Temp_2	#ea9328	337	17Networks_RH_ContB_Temp_2	17Networks_RH_ContB_Temp_2	#8c334d
339	340	7Networks_RH_Cont_PFCv_1	34	22	-8	7Networks_RH_Cont_PFCv_1	#e99423	309	17Networks_RH_SalVentAttnB_Ins_1	17Networks_RH_SalVentAttnB_PFCv_1	#fa98d7
340	341	7Networks_RH_Cont_PFCl_1	28	54	-14	7Networks_RH_Cont_PFCl_1	#e9941b	347	17Networks_RH_ContB_PFClv_2	17Networks_RH_ContB_PFClv_2	#8b314f
341	342	7Networks_RH_Cont_PFCl_2	42	50	-6	7Networks_RH_Cont_PFCl_2	#e9941c	348	17Networks_RH_ContB_PFClv_3	17Networks_RH_ContB_PFClv_3	#8b3150
342	343	7Networks_RH_Cont_PFCl_3	28	60	2	7Networks_RH_Cont_PFCl_3	#e9941d	349	17Networks_RH_ContB_PFClv_4	17Networks_RH_ContB_PFClv_4	#8b3249
343	344	7Networks_RH_Cont_PFCl_4	50	40	6	7Networks_RH_Cont_PFCl_4	#e9941e	305	17Networks_RH_SalVentAttnB_PFClv_1	17Networks_RH_SalVentAttnB_PFCl_1	#fa97d6
344	345	7Networks_RH_Cont_PFCl_5	42	46	14	7Networks_RH_Cont_PFCl_5	#e9941f	306	17Networks_RH_SalVentAttnB_PFCl_1	17Networks_RH_SalVentAttnB_PFCl_2	#fa97d7
345	346	7Networks_RH_Cont_PFCl_6	50	30	18	7Networks_RH_Cont_PFCl_6	#e99420	330	17Networks_RH_ContA_PFCl_1	17Networks_RH_ContA_PFCl_1	#e99421
346	347	7Networks_RH_Cont_PFCl_7	48	18	24	7Networks_RH_Cont_PFCl_7	#e99422	331	17Networks_RH_ContA_PFCl_2	17Networks_RH_ContA_PFCl_2	#e99423
347	348	7Networks_RH_Cont_PFCl_8	26	54	24	7Networks_RH_Cont_PFCl_8	#e99424	307	17Networks_RH_SalVentAttnB_PFCl_2	17Networks_RH_SalVentAttnB_PFCl_3	#fa97d8
348	349	7Networks_RH_Cont_PFCl_9	48	28	28	7Networks_RH_Cont_PFCl_9	#e99425	332	17Networks_RH_ContA_PFCl_3	17Networks_RH_ContA_PFCl_3	#e99424
349	350	7Networks_RH_Cont_PFCl_10	38	10	34	7Networks_RH_Cont_PFCl_10	#e99426	334	17Networks_RH_ContA_PFCl_5	17Networks_RH_ContA_PFCl_5	#e99426
350	351	7Networks_RH_Cont_PFCl_11	38	34	38	7Networks_RH_Cont_PFCl_11	#e99427	342	17Networks_RH_ContB_PFCld_1	17Networks_RH_ContB_PFCld_1	#8b314b
351	352	7Networks_RH_Cont_PFCl_12	44	18	44	7Networks_RH_Cont_PFCl_12	#e99428	343	17Networks_RH_ContB_PFCld_2	17Networks_RH_ContB_PFCld_2	#8b314c
352	353	7Networks_RH_Cont_PFCl_13	42	6	50	7Networks_RH_Cont_PFCl_13	#e99521	344	17Networks_RH_ContB_PFCld_3	17Networks_RH_ContB_PFCld_3	#8b314d
353	354	7Networks_RH_Cont_PFCl_14	34	16	56	7Networks_RH_Cont_PFCl_14	#e99522	345	17Networks_RH_ContB_PFCld_4	17Networks_RH_ContB_PFCld_4	#8b314e
354	355	7Networks_RH_Cont_PFCl_15	24	10	58	7Networks_RH_Cont_PFCl_15	#e99523	329	17Networks_RH_ContA_PFCd_1	17Networks_RH_ContA_PFCd_1	#ea9322
355	356	7Networks_RH_Cont_pCun_1	14	-72	40	7Networks_RH_Cont_pCun_1	#e99323	352	17Networks_RH_ContC_pCun_2	17Networks_RH_ContC_pCun_2	#7b8db1
356	357	7Networks_RH_Cont_pCun_2	6	-64	44	7Networks_RH_Cont_pCun_2	#e99324	353	17Networks_RH_ContC_pCun_3	17Networks_RH_ContC_pCun_3	#7b8db2
357	358	7Networks_RH_Cont_Cing_1	6	-28	28	7Networks_RH_Cont_Cing_1	#e99322	357	17Networks_RH_ContC_Cingp_2	17Networks_RH_ContC_Cingp_2	#7b8db6
358	359	7Networks_RH_Cont_Cing_2	4	2	30	7Networks_RH_Cont_Cing_2	#e99325	335	17Networks_RH_ContA_Cingm_1	17Networks_RH_ContA_Cinga_1	#e99422
359	360	7Networks_RH_Cont_PFCmp_1	8	34	24	7Networks_RH_Cont_PFCmp_1	#ea9425	311	17Networks_RH_SalVentAttnB_PFCmp_1	17Networks_RH_SalVentAttnB_PFCmp_1	#fa99d6
360	361	7Networks_RH_Cont_PFCmp_2	4	28	48	7Networks_RH_Cont_PFCmp_2	#ea9426	350	17Networks_RH_ContB_PFCmp_1	17Networks_RH_ContB_PFCmp_1	#8a324b
361	362	7Networks_RH_Default_Par_1	54	-46	20	7Networks_RH_Default_Par_1	#d13e4c	399	17Networks_RH_TempPar_9	17Networks_RH_TempPar_9	#0d29fe
362	363	7Networks_RH_Default_Par_2	48	-64	22	7Networks_RH_Default_Par_2	#d13e4e	385	17Networks_RH_DefaultC_IPL_1	17Networks_RH_DefaultC_IPL_1	#040184
363	364	7Networks_RH_Default_Par_3	54	-54	26	7Networks_RH_Default_Par_3	#d13e4f	359	17Networks_RH_DefaultA_IPL_1	17Networks_RH_DefaultA_IPL_1	#fbfe02
364	365	7Networks_RH_Default_Par_4	56	-46	32	7Networks_RH_Default_Par_4	#d13e50	338	17Networks_RH_ContB_IPL_1	17Networks_RH_ContB_IPL_1	#8b324a
365	366	7Networks_RH_Default_Par_5	48	-64	42	7Networks_RH_Default_Par_5	#d13e51	360	17Networks_RH_DefaultA_IPL_2	17Networks_RH_DefaultA_IPL_2	#fbfe03
366	367	7Networks_RH_Default_Temp_1	50	8	-32	7Networks_RH_Default_Temp_1	#d13d4c	376	17Networks_RH_DefaultB_AntTemp_1	17Networks_RH_DefaultB_AntTemp_1	#d23f4f
367	368	7Networks_RH_Default_Temp_2	60	-8	-24	7Networks_RH_Default_Temp_2	#d13d4d	358	17Networks_RH_DefaultA_Temp_1	17Networks_RH_DefaultA_Temp_1	#faff02
368	369	7Networks_RH_Default_Temp_3	48	16	-20	7Networks_RH_Default_Temp_3	#d13d4f	391	17Networks_RH_TempPar_1	17Networks_RH_TempPar_1	#1030fb
369	370	7Networks_RH_Default_Temp_4	54	-4	-14	7Networks_RH_Default_Temp_4	#d13d50	392	17Networks_RH_TempPar_2	17Networks_RH_TempPar_2	#1030fc
370	371	7Networks_RH_Default_Temp_5	64	-24	-8	7Networks_RH_Default_Temp_5	#d13d51	374	17Networks_RH_DefaultB_Temp_1	17Networks_RH_DefaultB_Temp_1	#d23e50
371	372	7Networks_RH_Default_Temp_6	48	-20	-8	7Networks_RH_Default_Temp_6	#d13d52	393	17Networks_RH_TempPar_3	17Networks_RH_TempPar_3	#1030fd
372	373	7Networks_RH_Default_Temp_7	64	-38	0	7Networks_RH_Default_Temp_7	#d13d53	375	17Networks_RH_DefaultB_Temp_2	17Networks_RH_DefaultB_Temp_2	#d23e51
373	374	7Networks_RH_Default_Temp_8	50	-34	2	7Networks_RH_Default_Temp_8	#d13d54	395	17Networks_RH_TempPar_5	17Networks_RH_TempPar_5	#0d29fa
374	375	7Networks_RH_Default_PFCv_1	34	22	-18	7Networks_RH_Default_PFCv_1	#d13d4e	382	17Networks_RH_DefaultB_PFCv_1	17Networks_RH_DefaultB_PFCv_1	#d13e4e
375	376	7Networks_RH_Default_PFCv_2	36	38	-14	7Networks_RH_Default_PFCv_2	#d13e4d	346	17Networks_RH_ContB_PFClv_1	17Networks_RH_ContB_PFClv_1	#8b314a
376	377	7Networks_RH_Default_PFCv_3	48	32	-8	7Networks_RH_Default_PFCv_3	#d13e52	383	17Networks_RH_DefaultB_PFCv_2	17Networks_RH_DefaultB_PFCv_2	#d13e4f
377	378	7Networks_RH_Default_PFCv_4	54	24	6	7Networks_RH_Default_PFCv_4	#d13e53	384	17Networks_RH_DefaultB_PFCv_3	17Networks_RH_DefaultB_PFCv_3	#d13e50
378	379	7Networks_RH_Default_PFCdPFCm_1	6	42	-10	7Networks_RH_Default_PFCm_1	#d03e49	368	17Networks_RH_DefaultA_PFCm_1	17Networks_RH_DefaultA_PFCm_1	#f9ff01
379	380	7Networks_RH_Default_PFCdPFCm_2	10	66	0	7Networks_RH_Default_PFCm_2	#d03e4a	369	17Networks_RH_DefaultA_PFCm_2	17Networks_RH_DefaultA_PFCm_2	#f9ff02
380	381	7Networks_RH_Default_PFCdPFCm_3	8	42	4	7Networks_RH_Default_PFCm_3	#d03e4b	370	17Networks_RH_DefaultA_PFCm_3	17Networks_RH_DefaultA_PFCm_3	#f9ff03
381	382	7Networks_RH_Default_PFCdPFCm_4	8	54	12	7Networks_RH_Default_PFCm_4	#d03e4c	371	17Networks_RH_DefaultA_PFCm_4	17Networks_RH_DefaultA_PFCm_4	#f9ff04
382	383	7Networks_RH_Default_PFCdPFCm_5	18	64	16	7Networks_RH_Default_PFCm_5	#d03e4d	372	17Networks_RH_DefaultA_PFCm_5	17Networks_RH_DefaultA_PFCm_5	#f9ff05
383	384	7Networks_RH_Default_PFCdPFCm_6	6	26	18	7Networks_RH_Default_PFCm_6	#d03e4f	373	17Networks_RH_DefaultA_PFCm_6	17Networks_RH_DefaultA_PFCm_6	#f9ff06
384	385	7Networks_RH_Default_PFCdPFCm_7	6	58	30	7Networks_RH_Default_PFCm_7	#d03e50	377	17Networks_RH_DefaultB_PFCd_1	17Networks_RH_DefaultB_PFCd_1	#d23f4e
385	386	7Networks_RH_Default_PFCdPFCm_8	16	52	36	7Networks_RH_Default_PFCm_8	#d03e51	378	17Networks_RH_DefaultB_PFCd_2	17Networks_RH_DefaultB_PFCd_2	#d23f50
386	387	7Networks_RH_Default_PFCdPFCm_9	4	44	40	7Networks_RH_Default_PFCm_9	#d03e52	379	17Networks_RH_DefaultB_PFCd_3	17Networks_RH_DefaultB_PFCd_3	#d23f51
387	388	7Networks_RH_Default_PFCdPFCm_10	26	34	38	7Networks_RH_Default_PFCm_10	#d03e53	361	17Networks_RH_DefaultA_PFCd_1	17Networks_RH_DefaultA_PFCd_1	#fbff03
388	389	7Networks_RH_Default_PFCdPFCm_11	14	38	52	7Networks_RH_Default_PFCm_11	#d03e54	380	17Networks_RH_DefaultB_PFCd_4	17Networks_RH_DefaultB_PFCd_4	#d23f52
389	390	7Networks_RH_Default_PFCdPFCm_12	24	26	50	7Networks_RH_Default_PFCm_12	#d03e55	362	17Networks_RH_DefaultA_PFCd_2	17Networks_RH_DefaultA_PFCd_2	#fbff04
390	391	7Networks_RH_Default_PFCdPFCm_13	12	20	62	7Networks_RH_Default_PFCm_13	#d03f4e	381	17Networks_RH_DefaultB_PFCd_5	17Networks_RH_DefaultB_PFCd_5	#d23f53
391	392	7Networks_RH_Default_pCunPCC_1	12	-56	16	7Networks_RH_Default_PCC_1	#d03e4e	388	17Networks_RH_DefaultC_Rsp_2	17Networks_RH_DefaultC_Rsp_2	#050084
392	393	7Networks_RH_Default_pCunPCC_2	8	-44	20	7Networks_RH_Default_PCC_2	#d03f4d	356	17Networks_RH_ContC_Cingp_1	17Networks_RH_ContC_Cingp_1	#7b8db5
393	394	7Networks_RH_Default_pCunPCC_3	16	-64	28	7Networks_RH_Default_PCC_3	#d03f4f	351	17Networks_RH_ContC_pCun_1	17Networks_RH_ContC_pCun_1	#7b8daf
394	395	7Networks_RH_Default_pCunPCC_4	6	-52	24	7Networks_RH_Default_PCC_4	#d03f50	363	17Networks_RH_DefaultA_pCunPCC_1	17Networks_RH_DefaultA_PCC_1	#fbfd01
395	396	7Networks_RH_Default_pCunPCC_5	4	-64	32	7Networks_RH_Default_PCC_5	#d03f51	364	17Networks_RH_DefaultA_pCunPCC_2	17Networks_RH_DefaultA_PCC_2	#fbfd02
396	397	7Networks_RH_Default_pCunPCC_6	6	-38	34	7Networks_RH_Default_PCC_6	#d03f52	365	17Networks_RH_DefaultA_pCunPCC_3	17Networks_RH_DefaultA_PCC_3	#fbfd03
397	398	7Networks_RH_Default_pCunPCC_7	4	-20	36	7Networks_RH_Default_PCC_7	#d03f53	366	17Networks_RH_DefaultA_pCunPCC_4	17Networks_RH_DefaultA_PCC_4	#fbfd04
398	399	7Networks_RH_Default_pCunPCC_8	10	-52	36	7Networks_RH_Default_PCC_8	#d03f54	367	17Networks_RH_DefaultA_pCunPCC_5	17Networks_RH_DefaultA_PCC_5	#fbfd05
399	400	7Networks_RH_Default_pCunPCC_9	8	-50	44	7Networks_RH_Default_PCC_9	#d0404d	354	17Networks_RH_ContC_pCun_4	17Networks_RH_ContC_pCun_4	#7b8db3
