index	label	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id
116	LH_Limbic_OFC_3	Limbic	7Networks_LH_Limbic_OFC_3	111.0	17Networks_LH_LimbicB_OFC_3	LimbicB	4S456	n/a
117	LH_Limbic_OFC_4	Limbic	7Networks_LH_Limbic_OFC_4	112.0	17Networks_LH_LimbicB_OFC_4	LimbicB	4S456	n/a
118	LH_Limbic_OFC_5	Limbic	7Networks_LH_Limbic_OFC_5	113.0	17Networks_LH_LimbicB_OFC_5	LimbicB	4S456	n/a
119	LH_Limbic_TempPole_1	Limbic	7Networks_LH_Limbic_TempPole_1	114.0	17Networks_LH_LimbicA_TempPole_1	LimbicA	4S456	n/a
120	LH_Limbic_TempPole_2	Limbic	7Networks_LH_Limbic_TempPole_2	115.0	17Networks_LH_LimbicA_TempPole_2	LimbicA	4S456	n/a
121	LH_Limbic_TempPole_3	Limbic	7Networks_LH_Limbic_TempPole_3	116.0	17Networks_LH_LimbicA_TempPole_3	LimbicA	4S456	n/a
122	LH_Limbic_TempPole_4	Limbic	7Networks_LH_Limbic_TempPole_4	117.0	17Networks_LH_LimbicA_TempPole_4	LimbicA	4S456	n/a
123	LH_Limbic_TempPole_5	Limbic	7Networks_LH_Limbic_TempPole_5	118.0	17Networks_LH_LimbicA_TempPole_5	LimbicA	4S456	n/a
124	LH_Limbic_TempPole_6	Limbic	7Networks_LH_Limbic_TempPole_6	167.0	17Networks_LH_DefaultB_Temp_1	DefaultB	4S456	n/a
125	LH_Limbic_TempPole_7	Limbic	7Networks_LH_Limbic_TempPole_7	119.0	17Networks_LH_LimbicA_TempPole_6	LimbicA	4S456	n/a
126	LH_Limbic_TempPole_8	Limbic	7Networks_LH_Limbic_TempPole_8	192.0	17Networks_LH_DefaultC_PHC_1	DefaultC	4S456	n/a
127	LH_Cont_Par_1	Cont	7Networks_LH_Cont_Par_1	122.0	17Networks_LH_ContA_IPS_1	ContA	4S456	n/a
128	LH_Cont_Par_2	Cont	7Networks_LH_Cont_Par_2	123.0	17Networks_LH_ContA_IPS_2	ContA	4S456	n/a
129	LH_Cont_Par_3	Cont	7Networks_LH_Cont_Par_3	137.0	17Networks_LH_ContB_IPL_2	ContB	4S456	n/a
130	LH_Cont_Par_4	Cont	7Networks_LH_Cont_Par_4	124.0	17Networks_LH_ContA_IPS_3	ContA	4S456	n/a
131	LH_Cont_Par_5	Cont	7Networks_LH_Cont_Par_5	138.0	17Networks_LH_ContB_IPL_3	ContB	4S456	n/a
132	LH_Cont_Par_6	Cont	7Networks_LH_Cont_Par_6	125.0	17Networks_LH_ContA_IPS_4	ContA	4S456	n/a
133	LH_Cont_Temp_1	Cont	7Networks_LH_Cont_Temp_1	135.0	17Networks_LH_ContB_Temp_2	ContB	4S456	n/a
134	LH_Cont_OFC_1	Cont	7Networks_LH_Cont_OFC_1	107.0	17Networks_LH_SalVentAttnB_OFC_1	SalVentAttnB	4S456	n/a
135	LH_Cont_PFCl_1	Cont	7Networks_LH_Cont_PFCl_1	140.0	17Networks_LH_ContB_PFClv_1	ContB	4S456	n/a
136	LH_Cont_PFCl_2	Cont	7Networks_LH_Cont_PFCl_2	128.0	17Networks_LH_ContA_PFClv_1	ContA	4S456	n/a
137	LH_Cont_PFCl_3	Cont	7Networks_LH_Cont_PFCl_3	101.0	17Networks_LH_SalVentAttnB_PFCl_1	SalVentAttnB	4S456	n/a
138	LH_Cont_PFCl_4	Cont	7Networks_LH_Cont_PFCl_4	142.0	17Networks_LH_ContB_PFClv_3	ContB	4S456	n/a
139	LH_Cont_PFCl_5	Cont	7Networks_LH_Cont_PFCl_5	129.0	17Networks_LH_ContA_PFClv_2	ContA	4S456	n/a
140	LH_Cont_PFCl_6	Cont	7Networks_LH_Cont_PFCl_6	131.0	17Networks_LH_ContA_PFCl_2	ContA	4S456	n/a
